|character|text|type|character_clean|gender
868|ALBRIGHT|Get me some whiskey, Easy.|speech|ALBRIGHT|M
869||"Easy studies Albright who sits knees wide apart, now the
master of the house, and he can't help himself."|stage direction||
870|EASY|"Get it yourself... Bottle's in the
cabinet."|speech|EASY|M
871||"Albright looks up and Easy braces himself for Albright to
bring on the end, all at once. But slowly a smile spreads
across Albright's face and he laughs, stamping his foot."|stage direction||
872||"58.
61   CONTINUED:   (2)                                               61"|unknown||
873|ALBRIGHT|"Well, I'll be damned. Get us a
drink, Manny... Easy, you're a
brave man. I need a brave man
working for me... But you gotta
find Frank Green, so he can lead us
to her."|speech|ALBRIGHT|M
874|EASY|"No, thanks, Mr. Albright. People
are gettin' killed all around me...
You never said anything about all
this..."|speech|EASY|M
875|ALBRIGHT|"Easy, you're connectable to two
murders. You'll do whatever I tell
you to do."|speech|ALBRIGHT|M
876||"Manny brings Albright's drink and the captain turns it up
and gives Manny back the glass."|stage direction||
877||"ALBRIGHT
(continuing)"|unknown||
878|ALBRIGHT|"Now you got three days to find him.
And you make sure you count 'em
right."|speech|ALBRIGHT|M
879||"He walks out the screen door with Manny and Shariff
following."|stage direction||
880||62   KITCHEN                                                        62|unknown||
881||"Easy grabs the bottle from the counter, where Manny has left
it, and pours himself a stiff one. But he only stares into
the glass.
FLASHBACK:"|stage direction||
882||63   EXT. BATTLEFIELD - DAY                                         63|unknown||
883||"Dense black smoke masks everything but two vague figures in
a struggle. The BOOM of heavy artillery gives way only to
the deafening CHATTER of automatic fire.
We are hurtling forward into a horror-stricken Easy in
combat gear, repeatedly stabbing an already lifeless German
soldier. Tears are streaming down Easy's face, his mouth
gaped open in an inaudible SCREAM."|stage direction||
884||64   BACK TO SCENE                                                  64|unknown||
885||He studies the glass and pushes it away.   Then looks|stage direction||
886||"59.
65    OUT THE WINDOW                                                  65
Albright and his two goons get in the white Caddy and cruise
away.
66    BEDROOM                                                         66
He dials the operator."|unknown||
887|EASY (V.O.)|"I needed help... Albright didn't
flinch at hearing that Coretta was
dead and he seemed to know all
about Richard McGee too..."|speech|EASY|M
888|OPERATOR (O.S.)|Number please...|speech|OPERATOR|M
889|EASY|Raymond Alexander on...|speech|EASY|M
890||"He pauses, speechless as
OPERATOR (O.S.)"|unknown||
891|EASY|Yes?|speech|EASY|M
892||(after a moment)|unknown||
893|EASY|Forget about it, operator.|speech|EASY|M
894||"He hangs up, his eyes trained in thought.
A67   EXT. JOPPY'S BAR - DAY                                         A67
A crowd has gathered along the street to watch a three
convertible car caravan: the first car bearing a four-place
band playing ""Happy Days Are Here Again""; the second with
someone who could be Lana Turner holding up a ""Teran for
Mayor"" placard with a man in the front passenger seat
announcing through a megaphone; and last, but hardly least,
Matthew Teran blowing kisses and waving two small American
flags.
Easy looks up for a moment as he closes the trunk of his car
to watch the parade. Then stuffs a ball peen hammer in the
waistband at the small of his back, under his jacket.
He walks with a purpose into the open door next to the
butcher shop.
B67   INT. JOPPY'S BAR                                               B67
Easy stops in the doorway, seeing
JOPPY as usual buffing the marble top of his bar. T-Bone
Walker's ""They Call It Stormy Monday"" is on the jukebox.
60.
B67   CONTINUED:                                                    B67
BACK TO EASY
He scans the bar and sees that there are no customers, and
walks in.
JOPPY"|unknown||
895||Hey, Easy.|location||
896||"Easy stops at the bar and stares at Joppy.
EASY"|unknown||
897||That girl called me last night.|location||
898||JOPPY|unknown||
899||What girl is that?|location||
900||EASY|unknown||
901||The one your friend is lookin' for.|location||
902||JOPPY|unknown||
903||"Uh, huh.   That's pretty lucky,
hunh?"|location||
904||EASY|unknown||
905||"No, Joppy... Wasn't no luck at all.
It was you."|location||
906||"Joppy inadvertently clenches his fists and notices Easy's
aggressive stance.
EASY"|unknown||
907||"You and Coretta was the only ones
that had my phone number who knew I
was lookin' for her. And Coretta
was busy scammin' Daphne so she
wouldn't have done it... It was
you, man."|location||
908||JOPPY|unknown||
909||Maybe she looked in the phone book.|location||
910||EASY|unknown||
911||I ain't in the phone book, Joppy...|location||
912||"Joppy's eyes narrow.
JOPPY"|unknown||
913||"What the hell you mean, coming up
here all mad like you gonna do
something?!..."|location||
914||"61.
B67   CONTINUED:   (2)                                              B67
EASY
(yelling)"|unknown||
915||"You damn right! Coretta's dead!
Your friend Albright is on my ass.
The cops done brought me down once
-- Why didn't you just tell
Albright your damn self?"|location||
916||"JOPPY
(yelling back)"|unknown||
917||"What did I tell you? To just take
that man's money! I didn't tell
you to do nothin'! I call myself
trying to help you save your
house... Don't come up in here
startin' no shit with me."|location||
918||"And he pulls a baseball bat from behind the bar, but Easy
has pulled his hammer and SMACKS it down hard, cracking the
beveled wood that frames the marble.
JOPPY
(continuing; panicked)"|unknown||
919||"Easy, wait! Watch my marble! My
uncle left me that when he died!"|location||
920||EASY|unknown||
921||"And goddammit, he's about to get it
back."|location||
922||"He draws back for the downswing, and Joppy drops the
baseball bat, holding up his hands.
JOPPY"|unknown||
923||Let's talk.   Let's just talk.|location||
924||EASY|unknown||
925||What you got me into, Joppy?!|location||
