|character|text|type|character_clean|gender
1063|VALENTIN|You want more money, is that it?|speech|VALENTIN|M
1064||Harry pushes him aside.|stage direction||
1065||INT. SWANN'S MANSION - VARIOUS - NIGHT|location||
1066||Harry starts to go through the house, opening doors.|stage direction||
1067|HARRY|Dorothea?|speech|HARRY|M
1068||"He sees candle-light through a partially open door. Starts
towards it."|stage direction||
1069|VALENTIN|Leave her alone --|speech|VALENTIN|M
1070|HARRY|Shut up!|speech|HARRY|M
1071||He pushes open the door.|stage direction||
1072||INT. SWANN'S MANSION - CASKET ROOM - NIGHT|location||
1073||"The room is a museum of Swarm's career.  Posters, and
memorabilia everywhere.  And in the middle of the room,
Swann's sealed CASKET, surrounded by flowers and candles.
Dorothea is standing beside it, head bowed."|stage direction||
1074|DOROTHEA|"This is the way he wanted it... no
autopsy, no embalming. Nobody
meddling with his body..."|speech|DOROTHEA|F
1075||Harry approaches, slowly.|stage direction||
1076|DOROTHEA|"Flesh is a trap.  That's what he
used to say.  Flesh is a trap and
magic sets us free."|speech|DOROTHEA|F
1077||(a beat)|location||
1078|DOROTHEA|Why did you come back?|speech|DOROTHEA|F
1079|HARRY|"I didn't leave.  I was just digging
around."|speech|HARRY|M
1080||Dorothea looks up at him.|stage direction||
1081||(uneasy)|location||
1082|DOROTHEA|What did you find?|speech|DOROTHEA|F
1083|HARRY|Jennifer Desiderio, for one.|speech|HARRY|M
1084||(he watches her for a|location||
1085|HARRY|"response)
She threw herself in front of a car
this afternoon."|speech|HARRY|M
1086||Dorothea can't disguise her distress.|stage direction||
1087|DOROTHEA|Oh Christ.|speech|DOROTHEA|F
1088||(a beat)|location||
1089|HARRY|Why don't you tell me the truth?|speech|HARRY|M
1090||INT. SWANN'S MANSION- STUDY-- NIGHT-|location||
1091||"Dorothea pours herself a drink, while Harry spreads the
PHOTOS and the PAPERS from the repository on the table."|stage direction||
1092|HARRY|"Nix ran some kind of cult, right?
Some kind of Charlie Manson deal?"|speech|HARRY|M
1093|DOROTHEA|It was more than that, I think.|speech|DOROTHEA|F
1094|HARRY|He was the real thing, right?|speech|HARRY|M
1095|DOROTHEA|Swann said he could do stuff, yes.|speech|DOROTHEA|F
1096|HARRY|Stuff?|speech|HARRY|M
1097|DOROTHEA|"He could get into people's heads.
Make them see things. Terrible
things.  And he could levitate.
Juggle fire."|speech|DOROTHEA|F
1098|HARRY|He taught all this to Swann?|speech|HARRY|M
1099|DOROTHEA|Some or it.|speech|DOROTHEA|F
1100||INT. SWANN'S MANSION - HALLWAY OUTSIDE STUDY - NIGHT|location||
1101||Valentin is listening at the door.|stage direction||
1102||INT. SWANN'S MANSION- STUDY-- NIGHT-|location||
1103|HARRY|"So Swann was performing magic. not
illusions?"|speech|HARRY|M
1104||(Dorothea nods)|location||
1105|HARRY|"And what?  You thought he should be
using it to cure cancer, not making
millions."|speech|HARRY|M
1106|DOROTHEA|I told you --|speech|DOROTHEA|F
1107|HARRY|"Too much fame.  Yeah, I guess
that'd turn anybody's head.
Including yours."|speech|HARRY|M
1108|DOROTHEA|No.|speech|DOROTHEA|F
1109|HARRY|"You said you weren't with him for
love."|speech|HARRY|M
1110|DOROTHEA|I wasn't.|speech|DOROTHEA|F
1111||What then?|location||
1112|DOROTHEA|"I was grateful to him.  I owed him
my life.  And he loved me. He
couldn't always show it, but he
felt it."|speech|DOROTHEA|F
1113|HARRY|"He thought Nix was coming back,
didn't he?"|speech|HARRY|M
1114||"Dorothea is pouring herself another drink.  The glass slips
from her hand.  It SHATTERS.  Harry goes to help her.  They
stoop together, very close.  The sexual attraction is almost
palpable. Dorothea cuts herself on a shard of glass."|stage direction||
1115|DOROTHEA|Shit!|speech|DOROTHEA|F
1116||They are very close to each other.|stage direction||
1117||(reassuring)|location||
1118|HARRY|It's okay.|speech|HARRY|M
1119|DOROTHEA|No it isn't.  You can't help me.|speech|DOROTHEA|F
1120||(tenderly)|location||
1121|HARRY|I'm here, aren't I?|speech|HARRY|M
1122||He kisses her.  She kisses him back, hard.|stage direction||
1123|HARRY|Nothing's going to happen to you.|speech|HARRY|M
1124||(seductive)|location||
1125|DOROTHEA|Nothing?|speech|DOROTHEA|F
1126||(smiles)|location||
1127|HARRY|Nothing you don't want.|speech|HARRY|M
1128||They kiss again, passionately.|stage direction||
1129||INT. SWANN'S MANSION - LOBBY - NIGHT|location||
1130||"Valentin breaks into the shadows, as Harry and Dorothea cross
the darkened lobby and head upstairs.  Then Valentin crosses
to the phone and dials."|stage direction||
1131||INT. SWANN'S MANSION - DOROTHEA'S BEDROOM - NIGHT|location||
1132||"A room of illusions.  Walls lined with mirrors, and warm,
flattering lighting, bathing the naked forms of Dorothea and
Harry as they make love, sitting on the floor.
It is a deeply passionate, but slow, sensual coupling."|stage direction||
1133||INT./EXT. SWANN'S MANSION - LOBBY - NIGHT|location||
1134||"Valentin opens the front door.  There's a wind blowing. The
palms churn against the night sky...
INTERCUT
Roiling, wind-filled pains with the glistening, urgent bodies
of Harry and Dorothea."|stage direction||
1135||INT. SWANN'S MANSION - DOROTHEA'S BEDROOM - NIGHT|location||
1136||Harry cradles Dorothea in post-coital languor.|stage direction||
1137||(whispers)|location||
1138|DOROTHEA|I was so afraid.|speech|DOROTHEA|F
1139|HARRY|Don't be.  Nix can't hurt you now.|speech|HARRY|M
1140|DOROTHEA|Are you sure?|speech|DOROTHEA|F
1141|HARRY|I'm sure.|speech|HARRY|M
1142||(kisses her)|location||
1143|HARRY|He's dead.|speech|HARRY|M
1144|DOROTHEA|"I know.  I'm the one who shot
him."|speech|DOROTHEA|F
1145||ON HARRY. He's startled, to say the least.|stage direction||
1146|DOROTHEA|"I was twelve.  Nix took me hostage,
to get Swann to come to him."|speech|DOROTHEA|F
1147||(realizing)|location||
1148|HARRY|And they all came...|speech|HARRY|M
1149|DOROTHEA|Yes.|speech|DOROTHEA|F
1150|HARRY|Quaid and Jennifer--|speech|HARRY|M
1151|DOROTHEA|"And Pimm and Swann.  Only Nix was
ready for them."|speech|DOROTHEA|F
1152||There's a NOISE downstairs.|stage direction||
