|character|text|type|character_clean|gender|principal_character
1493|PRESS|"Ms. Roberts! Ms. Roberts! Why did
you come back to Rome so soon!!"|speech|PRESS|M|True
1494||TESS|unknown|||
1495|PRESS|I...uh...|speech|PRESS|M|True
1496|PRESS|Was it to see Topher?|speech|PRESS|M|True
1497|TESS|To see what?|speech|TESS|F|True
1498|PRESS|"Topher Grace!! Your co-star!! Is
that why you're here?!"|speech|PRESS|M|True
1499|TESS|Oh. No. I came to -- to see the--|speech|TESS|F|True
1500||"(CONTINUED)
100.
163   CONTINUED:                                                        163"|unknown|||
1501|PRESS|Where's Danny?|speech|PRESS|M|True
1502||TESS|unknown|||
1503|PRESS|What?|speech|PRESS|M|True
1504|PRESS|Danny, your husband!!|speech|PRESS|M|True
1505||(looks to Reuben)|unknown|||
1506|TESS|Well, he's not really--|speech|TESS|F|True
1507|REUBEN|"Ms. Roberts is very tired!! Please
let her through! Please!"|speech|REUBEN|F|True
1508||164   INT. PRESIDENTIAL SUITE -- DAY                                   164|unknown|||
1509||"Tess enters and shuts the door behind her.  She takes a deep
breath and exhales. She looks up at Danny, who's there
waiting for her."|location|||
1510|TESS|I can't do this.|speech|TESS|F|True
1511||"Danny goes to her.    Kisses her.   Hugs her.    When he steps
back he answers:"|location|||
1512|DANNY|Yes, you can.|speech|DANNY|M|True
1513|TESS|"I'm not an actress, Danny!     And I
don't look like her!"|speech|TESS|F|True
1514||DANNY|unknown|||
1515|TESS|"You do, Tess. You really do. I
never told you that before, but
it's true."|speech|TESS|F|True
1516|TESS|Come on: my...|speech|TESS|F|True
1517||She notions at her body, but we can't tell what part.|location|||
1518||TESS|unknown|||
1519|TESS|And my...|speech|TESS|F|True
1520||"She motions at her body again; again it's totally ambiguous
what part."|location|||
1521||"(CONTINUED)
101.
164   CONTINUED:                                                  164"|unknown|||
1522|TESS|"And my ears. Anybody who sees my
ears is going to know instantly."|speech|TESS|F|True
1523|DANNY|Nobody's looking at your ears.|speech|DANNY|M|True
1524|TESS|"Yes, Danny, they are.     They're
going to know."|speech|TESS|F|True
1525||165   INT. DISPLAY ROOM FOR EGG -- MUSEUM OF MODERN ART -- DAY   165|unknown|||
1526||Isabel stands with the MUSEUM DIRECTOR.|location|||
1527|ISABEL|When did that happen?|speech|ISABEL|F|True
1528|MUSEUM DIRECTOR|"We just found out. I arranged a
private showing for tomorrow
morning before we open the show to
the public."|speech|MUSEUM DIRECTOR|?|True
1529|ISABEL|"I don't understand, why do you have
to disable any of the systems--"|speech|ISABEL|F|True
1530|MUSEUM DIRECTOR|"Because she might want to get close
to the egg, got right up here and
look at it. And I'm not going to
embarrass myself or this
institution by telling her she
can't."|speech|MUSEUM DIRECTOR|?|True
1531|ISABEL|"She's an actress, Giovanni, not the
Pope."|speech|ISABEL|F|True
1532|MUSEUM DIRECTOR|"Do you realize how much free
publicity we'll get for this
museum, just because she because
she decided to come by and look at
the egg? She's even agreed to do a
photo shoot for us promoting the
museum."|speech|MUSEUM DIRECTOR|?|True
1533||Isabel gives an exasperated sigh.|location|||
1534||"(CONTINUED)
102.
165   CONTINUED:                                                   165"|unknown|||
1535|ISABEL|That's exactly the sort of thing...|speech|ISABEL|F|True
1536||166   INTERCUT -- INT. WAREHOUSE -- DAY                           166|unknown|||
1537||"Saul, Frank, and Rusty sit on plush couches and watch
Isabel's conversation with the museum director from six
different angles. Clearly, Livingston has tapped into the
museum's closed circuit system."|location|||
1538|ISABEL (TELEVISION V.O.)|"...that the people I'm after will
exploit."|speech|ISABEL|F|True
1539||(thinks)|unknown|||
1540|ISABEL (TELEVISION V.O.)|"Okay, fine. You want to shut down
half the electronic system, let me
post eight cops in the room..."|speech|ISABEL|F|True
1541||"Saul, Frank, and Rusty clench teeth and fists... On pins and
needles for a moment. If the museum director agrees they're
in big trouble."|location|||
1542|MUSEUM DIRECTOR (TELEVISION V.O.)|"Are you crazy? That's worse
than....you want me to treat her
like a criminal?"|speech|MUSEUM DIRECTOR|?|True
1543||"The guys relax back into the couches, their plan narrowly
having escaped disaster."|location|||
1544||167   ANOTHER ANGLE                                               167|unknown|||
1545||"On Saul, Frank, and Rusty relaxing. Only this angle has a
digital quality to it -- because we are watching them now
through a hi-def TV screen.
PULL BACK to REVEAL Toulour, sitting in a warehouse of his
own, watching his own surveillance footage of both our guys'
warehouse and the museum's closed circuit system."|location|||
1546|MUSEUM DIRECTOR (TELEVISION V.O.)|"Look, if you need to do something
to reinforce security during her
visit, fine. But it's got to be
out of sight. And it can't effect
Julia in any way. Are we clear?"|speech|MUSEUM DIRECTOR|?|True
1547||"103.
168   INT. ROME BISTRO -- DAY                                   168"|unknown|||
1548||"Toulour eats with a beautiful woman.   Virgil sits six tables
away, keeping an eye on him.
Turk strolls in and sits with his brother."|location|||
1549|TURK|Where is he?|speech|TURK|M|True
1550||(points at Toulour)|unknown|||
1551|VIRGIL|"There. I took a look at the
interrogation scene."|speech|VIRGIL|M|True
1552|TURK|Why?|speech|TURK|M|True
1553|VIRGIL|"'Cause Linus said it was
repetitive."|speech|VIRGIL|M|True
1554|TURK|It clarifies everything.|speech|TURK|M|True
1555|VIRGIL|He said it's too on the nose.|speech|VIRGIL|M|True
1556|TURK|"What's he, the head of the studio?
What's he ever written?"|speech|TURK|M|True
1557|VIRGIL|He's just saying -- Oh, no--|speech|VIRGIL|M|True
1558|TURK|What?|speech|TURK|M|True
1559|VIRGIL|It's not him!|speech|VIRGIL|M|True
1560||"Turk spine to see ""Toulour"" get up at the other table. Only
it's not Toulour. It's somebody who looks like Toulour from
behind."|location|||
1561|TURK|"What! How did you-- You moron!
You said you were watching him the
whole time!"|speech|TURK|M|True
1562||"(CONTINUED)
104.
168   CONT1NUED:                                                168"|unknown|||
1563|VIRGIL|"I was! I mean, I used the bathroom
once, but it was quick. You lost
him yesterday!"|speech|VIRGIL|M|True
1564||They sit for a minute.|location|||
1565|TURK|"Livingston said Frank said that
Rusty said that Danny said Toulour
said don't ever bother following
him."|speech|TURK|M|True
1566||169   INT. RUSTY'S HOTEL ROOM -- NIGHT                         169|unknown|||
1567||"ON Rusty -- the blue light of an unseen television reflecting
off his face. He walks onto the balcony."|location|||
1568||170   WAVY TRANSITION TO FLASHBACK:                            170|unknown|||
1569||"We follow Rusty down a hallway. He enters a dark apartment.
Slips silently through the dining room. Two places are set.
A candle on the table is burned down to almost nothing."|location|||
1570||171   INT. BEDROOM -- NIGHT                                    171|unknown|||
1571||"The lights are out here too. But Isabel's still awake.
Rusty enters the room. She doesn't look at him"|location|||
1572||RUSTY|unknown|||
1573|TURK|I'm sorry.|speech|TURK|M|True
1574|ISABEL|What happened?|speech|ISABEL|F|True
1575|RUSTY|"I have to go. Right now. I have
to leave the country. It could
be a while. A month. Maybe more."|speech|RUSTY|M|True
1576||"Isabel turns to look at Rusty. She can barely see the
outline of his face in the darkness."|location|||
1577|ISABEL|"What are you saying? What the hell
are you saying? Where are you
going?"|speech|ISABEL|F|True
1578||"(CONTINUED)
105.
171   CONTINUED:                                              171"|unknown|||
1579|RUSTY|I can't tell you.|speech|RUSTY|M|True
1580||Isabel stares at his dark face.|location|||
1581||ISABEL|unknown|||
1582|RUSTY|"When people start talking the way
you're talking there are only two
possibilities: you're either in
intelligence or you're a criminal.
And no one I work with has ever
worked with you...or even knows
your name."|speech|RUSTY|M|True
1583|RUSTY|"You knew what I was the day you met
me, Isabel."|speech|RUSTY|M|True
1584||ISABEL|unknown|||
1585|RUSTY|Robert...|speech|RUSTY|M|True
1586|RUSTY|"We can talk about it when I get
back."|speech|RUSTY|M|True
1587||ISABEL|unknown|||
1588|RUSTY|"No, Robert. I have to tell you
something."|speech|RUSTY|M|True
1589|RUSTY|What is it?|speech|RUSTY|M|True
1590||ISABEL|unknown|||
1591|RUSTY|"I'm taking the job. I'm moving to
Amsterdam."|speech|RUSTY|M|True
1592||He doesn't respond for a moment.|location|||
1593|RUSTY|"I can't have this conversation
right now. Please, Isabel. I have
to get out of here. I love you."|speech|RUSTY|M|True
1594||He kisses her then leaves.|location|||
1595||172   EXT. APARTMENT -- NIGHT                                 172|unknown|||
1596||"Outside the front of the apartment, he shuts the door and
turns toward us. We see his face in the light for the first
time: His left eye is swollen shut. Blood is caked into his
hair and on his cheek. Somebody beat the shit out of him."|location|||
1597||"106.
173   BACK IN THE PRESENT DAY                                     173"|unknown|||
1598||"Rusty is still on the balcony.
There's a knock at the door.   He opens it to see Isabel."|location|||
1599|ISABEL|You want to walk?|speech|ISABEL|F|True
1600||174   EXT. ROME -- NIGHT                                          174|unknown|||
1601||Rusty and Isabel sit on the steps of the Campidoglio.|location|||
1602|ISABEL|"I know how you're planning to do
it. I know Julia's visit is the
key."|speech|ISABEL|F|True
1603|RUSTY|Who's Julia?|speech|RUSTY|M|True
1604||(after a beat)|unknown|||
1605|ISABEL|"LeMarc knew when to get out. He
just quit...with his perfect record
intact. Now he's a legend."|speech|ISABEL|F|True
1606||(exhorting)|unknown|||
1607|ISABEL|Don't do this.|speech|ISABEL|F|True
1608|RUSTY|"LeMarc quit because he was 75 years
old, Isabel. He was tired. His
doctor told him if he didn't start
taking it easy he was going to have
another heart attack. You're
dramatizing it."|speech|RUSTY|M|True
1609|ISABEL|"You don't know why LeMarc retired,
any better than I do. You have no
idea."|speech|ISABEL|F|True
1610|RUSTY|"Actually, I do. I know exactly
why."|speech|RUSTY|M|True
1611||ISABEL|unknown|||
1612|RUSTY|Really?    How's that?|speech|RUSTY|M|True
1613||"(CONTINUED)
107.
174   CONTINUED:                                              174"|unknown|||
1614|RUSTY|He told me.|speech|RUSTY|M|True
1615||(skeptical as hell)|unknown|||
1616|ISABEL|You know LeMarc?|speech|ISABEL|F|True
1617||RUSTY|unknown|||
1618|ISABEL|A little.|speech|ISABEL|F|True
1619|ISABEL|Since when?|speech|ISABEL|F|True
1620|RUSTY|Ten years ago.|speech|RUSTY|M|True
1621|ISABEL|For how long?|speech|ISABEL|F|True
1622|RUSTY|For six months.|speech|RUSTY|M|True
1623||ISABEL|unknown|||
1624|RUSTY|You--|speech|RUSTY|M|True
1625||She's so mad she can hardly speak.|location|||
1626|ISABEL|"You knew LeMarc? You knew LeMarc
and never told me? That's the worst
thing you've ever done to me.
Nobody knows more about LeMarc than
me. How could you do that?"|speech|ISABEL|F|True
1627|RUSTY|I couldn't tell you, then.|speech|RUSTY|M|True
1628|ISABEL|Really awful.|speech|ISABEL|F|True
1629||Isabel thinks.|location|||
1630|ISABEL|"Then why aren't you as good as
Toulour?"|speech|ISABEL|F|True
1631||"Rusty shrugs.
A beat."|location|||
1632||"(CONTINUED)
108.
174   CONTINUED: (2)                                               174"|unknown|||
1633|ISABEL|"I don't want to arrest you, Robert.
I really don't. But I will if you
make me. I will if you go for that
egg."|speech|ISABEL|F|True
1634||Rusty goes silent, looks out at the lights of the city.|location|||
1635|ISABEL|"So many times, I waited. You can't
do that to a person."|speech|ISABEL|F|True
1636||RUSTY|unknown|||
1637|ISABEL|Isabel--|speech|ISABEL|F|True
1638|ISABEL|I have to go.|speech|ISABEL|F|True
1639||"Isabel gets up...walks away fast.    She's barely holding
herself together.
Rusty watches her go.   Several seconds, then:"|location|||
1640||175   FLASHBACK -- INT. APARTMENT BUILDING -- ROME -- DAY         175|unknown|||
1641||"Rusty carries a huge bouquet of flowers up the stairs to the
front door of his apartment with Isabel. It's a perfect
sunny day outside.
He unlocks the door quietly and swings it open to see the
apartment is bare. The furniture is still there. But
nothing else. Nothing on the walls or the shelves.    Isabel
has clearly moved out.
Rusty's whole body reacts.... He slowly looks around him, as
if in a dream. His eye goes to the dining room table.
Isabel's engagement ring is there."|location|||
1642||176   BACK TO SCENE -- EXT. ROME -- CAMPIDOGLIO -- NIGHT          176|unknown|||
1643||"Rusty is still watching Isabel, small now in the distance.
She turns the corner out of sight."|location|||
1644||177   EXT. MUSEUM OF MODERN ART -- DAWN                           177|unknown|||
1645||Isabel pulls up in her car.|location|||
1646||"109.
178   INT. MUSEUM OF MODERN ART -- DAWN                          178"|unknown|||
1647||The Egg is being put into position. Isabel watches.|location|||
1648||179   INT. HOTEL SUITE -- DAWN                                   179|unknown|||
1649||"Reuben is talking to Yen. Frank and Livingston get ready in
the background."|location|||
1650|REUBEN|"You're a photographer. Very
exacting. You want things a certain
way, but you never raise your
voice. You're uncompromising.
Strong."|speech|REUBEN|F|True
1651|FRANK|Reuben, what are you doing?|speech|FRANK|M|True
1652|REUBEN|"Oh, we understand each other. I'm
mean, the actual words are
gibberish to me, but I know what he
means. There's a tone, you know. We
communicate. I'm sure he'd tell you
the same thing."|speech|REUBEN|F|True
1653||(to Yen)|unknown|||
1654|REUBEN|Am I right?|speech|REUBEN|F|True
1655||Yen says something in Chinese.|location|||
1656||180   INT. HOTEL SUITE -- DAWN                                   180|unknown|||
1657||Danny and the Malloys are looking at Tess's hair.|location|||
1658|TURK|"I say we do a Joey Heatherton,
1971."|speech|TURK|M|True
1659|VIRGIL|It's the wrong color.|speech|VIRGIL|M|True
1660||Turk looks at his watch.|location|||
1661|TURK|Damn.|speech|TURK|M|True
1662||"There's a knock at the door. They let Tess check on it. She
looks out the keyhole;"|location|||
1663||"(CONTINUED)
110.
180   CONTINUED:                                                180"|unknown|||
1664||"It's TOPHER GRACE.
Tess looks back to the group and shrugs."|location|||
1665||"TOPHER
(off)"|unknown|||
1666|TURK|Hello?|speech|TURK|M|True
1667||"He knocks again.
The group scrambles and hides. Tess opens the door."|location|||
1668|TOPHER|"Hey! I got your room number from
McCormick, I hope you don't mind."|speech|TOPHER|F|True
1669||"He walks in and hugs her. She looks terrified. Topher
disengages and looks around."|location|||
1670|TOPHER|"This is great. Do you have the
adjoining room?"|speech|TOPHER|F|True
1671||TESS|unknown|||
1672|TOPHER|Uh, no.|speech|TOPHER|F|True
1673|TOPHER|"Oh. Hey. I saw the rough cut of YOU
ALWAYS, YOU NEVER. It's so awesome.
Congratulations."|speech|TOPHER|F|True
1674|TESS|Oh. Thank you.|speech|TESS|F|True
1675|TOPHER|"It was just like a dub of a lo-rez
output, but I could totally see
what you were doing. I think you
might win again. Seriously."|speech|TOPHER|F|True
1676||TESS|unknown|||
1677|TOPHER|Oh.|speech|TOPHER|F|True
1678|TOPHER|"It really actually looked like you
were blind. How did you do that?
What is it like, an on-set thing,
or was it digital?"|speech|TOPHER|F|True
1679|TESS|It was, uh...|speech|TESS|F|True
1680||"(CONTINUED)
111.
180   CONTINUED: (2)                                          180"|unknown|||
1681|TOPHER|"You can tell me, I won't tell a
soul. Because if you say it's
instinctual, I'm quitting right
now. Seriously. The way you parted
your hair? That was so connected.
And that scene with the matches?
And when you find out who your real
grandmother is and run through the
rain and find her on the porch and
touch her face? Man, that was...you
gotta tell Steven how much I loved
it."|speech|TOPHER|F|True
1682||TESS|unknown|||
1683|TOPHER|Okay.|speech|TOPHER|F|True
1684|TOPHER|So what are you doing?|speech|TOPHER|F|True
1685|TESS|I'm, uh, getting ready to go out...|speech|TESS|F|True
1686||(laughs)|unknown|||
1687|TOPHER|"I mean next. What movie are you
doing next?"|speech|TOPHER|F|True
1688|TESS|"I...I'm having trouble deciding
what to do next."|speech|TESS|F|True
1689|TOPHER|Is Danny working?|speech|TOPHER|F|True
1690|TESS|Danny...Danny is...Danny is...|speech|TESS|F|True
1691||TOPHER|unknown|||
1692|TESS|"Oh, no. Is something wrong? Have
you two..."|speech|TESS|F|True
1693||TESS|unknown|||
1694|TESS|No, no...|speech|TESS|F|True
1695|TOPHER|I'm so sorry. I'm so sorry.|speech|TOPHER|F|True
1696|TESS|"No. we're absolutely fine, he's
just--"|speech|TESS|F|True
1697||"(CONTINUED)
112.
180   CONTINUED: (3)                                            180"|unknown|||
1698|TOPHER|"I've got to stop asking people
about their spouses, it's like
always a mistake--"|speech|TOPHER|F|True
1699|TESS|No, really--|speech|TESS|F|True
1700|TOPHER|"Listen, I won't say a word.
Seriously. I'm rooting for you
guys, you know that. This is your
private business and I totally
respect that. No more Danny
questions from me."|speech|TOPHER|F|True
1701|TESS|"Thank you. He's fine. Danny's fine.
He's working."|speech|TESS|F|True
1702|TOPHER|"Hey, cool, whatever. That's what
I'll say."|speech|TOPHER|F|True
1703||A beat.|location|||
1704|TOPHER|"So can I come look at that Egg with
you?"|speech|TOPHER|F|True
1705||181   INT. MUSEUM -- ENTRY HALL -- DAY                         181|unknown|||
1706||"Reuben (dressed in a hip-hop outfit) and Linus (dressed like
an agent) stand in front of some paparazzi. A crowd of
museum employees also rubberneck."|location|||
1707|REUBEN|"My name is Stuart Feldman,
Worldwide Executive Senior Vice-
President of Marketing, Corporate
Senior Vice-President of Publicity
and Corporate International
Executive Worldwide President of
Promotion for the Warner Brothers
Motion Picture company."|speech|REUBEN|F|True
1708||(indicating)|unknown|||
1709|REUBEN|"My colleague, Grant Wells, who is
responsible for Ms. Roberts
itinerary, has graciously set aside
time for Ms. Roberts to view the
Coronation Egg privately."|speech|REUBEN|F|True
1710||"113.
182   INT. SECURITY ROOM                                            182"|unknown|||
1711||"Isabel, the Security Director, and Captain Giordano sit with
four cops watching a bank of closed circuit screens."|location|||
1712|ISABEL|"I want to be on record as saying
that you should have shut the
entire museum down."|speech|ISABEL|F|True
1713||"Isabel keeps her eye on the tourists who circulate through
the other wings of the museum."|location|||
1714||183   INT. MUSEUM -- ENTRY HALL -- DAY                              183|unknown|||
1715||"""Julia"" arrives flanked by her ""Nation of Islam"" guards,
Frank and Basher. The assembled employees clap and call her
name. She waves as they take her picture.
Topher throws his arm around Julia to make sure he gets in
all the shots. The Museum Director comes up to greet
""Julia""."|location|||
1716||184   INT. SECURITY ROOM                                            184|unknown|||
1717||Isabel watches the security camera feeds.|location|||
1718||ISABEL|unknown|||
1719|ISABEL|There!     Right there!|speech|ISABEL|F|True
1720||"Isabel points at a screen showing the museum's other
entrance. Rusty nonchalantly slips into the museum."|location|||
1721||185   INT. GALLERY CONTAINING THE CORONATION EGG -- DAY             185|unknown|||
1722||"""Julia"" enters and walks up to the egg.       Her entourage
follows."|location|||
1723|TESS|It's so beautiful.        My God.|speech|TESS|F|True
1724||Topher looks at the egg--|location|||
1725|TOPHER|Kinda small.|speech|TOPHER|F|True
1726||He turns away to look a cute girl on the museum staff.|location|||
1727||"(CONTINUED)
114.
185   CONTINUED:                                                  185"|unknown|||
1728|TOPHER|Hi.|speech|TOPHER|F|True
1729||"BACK ON ""JULIA""
She leans in close to the egg."|location|||
1730|TESS|"I'm not going to set off any
alarms?"|speech|TESS|F|True
1731|MUSEUM DIRECTOR|No. No. Get as close as you like.|speech|MUSEUM DIRECTOR|?|True
1732||Reuben pops his head in between them.|location|||
1733||(obsequious)|unknown|||
1734|REUBEN|"Julia -- unless you have any
objections -- Wen and his crew set
up for the publicity stills."|speech|REUBEN|F|True
1735||186   INT. ANOTHER PART OF THE MUSEUM -- DAY                     186|unknown|||
1736||"Rusty ponders a painting like college student trying to
impress his art history professor. Finally he moves on, into
another gallery.
PAN to REVEAL nine uniformed cops trailing behind him."|location|||
1737||187   INT. GALLERY CONTAINING THE CORONATION EGG -- DAY          187|unknown|||
1738||"Yen ENTERS FRAME -- dressed like a pretentious grunge rocker.
He whispers Chinese into a bullhorn.
Theoretically he's speaking to his crew (Danny, Saul, and
Livingston in lame disguises) telling them where to set up
the camera, lights, and flags.
Each ""crew member"" carries an odd-looking oversized ""light
meter"". Upon closer examination we can see that each device
has a small TV screen on it -- which is tapped into the
museum's closed circuit system. The guys are carefully
placing their flags and lights so as to block the view of the
egg from each of the eight cameras on the ceiling of the
gallery.
""Studio Execs,"" Reuben and Linus go to ""Julia."""|location|||
1739||"(CONTINUED)
115.
187   CONTINUED:                                                  187"|unknown|||
1740|REUBEN|"I was thinking maybe we could get
you and Topher into some ""You
Always You Never"" hats and t-shirts
for the shoot--"|speech|REUBEN|F|True
1741|TESS|That's stupid.|speech|TESS|F|True
1742||"REUBEN
(instant reversal)"|unknown|||
1743|TESS|So stupid!|speech|TESS|F|True
1744||"(turns to Linus as if it's
his idea)"|unknown|||
1745|TESS|Idiot.|speech|TESS|F|True
1746||(gingerly)|unknown|||
1747|TESS|"Maybe we could put some posters in
the background--"|speech|TESS|F|True
1748|TESS|"I don't think we want to be so
obvious--"|speech|TESS|F|True
1749|REUBEN|I completely agree!|speech|REUBEN|F|True
1750||(to Linus)|unknown|||
1751|REUBEN|"Stop trying to turn this into some
sort of stunt."|speech|REUBEN|F|True
1752||188   INT. OTHER PART OF MUSEUM                                  188|unknown|||
1753||Isabel struts up to Rusty.|location|||
1754|ISABEL|This isn't going to work.|speech|ISABEL|F|True
1755|RUSTY|"I don't know what you're talking
about."|speech|RUSTY|M|True
1756||189   INT. GALLERY CONTAINING THE CORONATION EGG -- DAY          189|unknown|||
1757||"Yen stands on two apple boxes to shoot photos of ""Julia"" and
Topher. ""Julia"" looks ridiculously stiff and keeps putting
her hands up to block her ears.
Topher keeps shooting glances at Danny, who is moving around
flags and lights, ostensibly in accordance with Yen's Chinese
language orders."|location|||
1758||"(CONTINUED)
116.
189   CONTINUED:                                                  189"|unknown|||
1759||"Julia sees Topher's expression -- he recognizes Danny from
somewhere..."|location|||
1760|JULIA|"Okay, thanks everybody. Thank you
so much."|speech|JULIA|F|
1761||She starts to walk out. Topher shrugs and follows her.|location|||
1762||190   INT. MUSEUM HALLWAY -- DAY                                 190|unknown|||
1763||"Julia and her entourage barrel down the hallway. Topher
catches up."|location|||
1764|TOPHER|Hey, J Ro, why the quick exit?|speech|TOPHER|F|True
1765|TESS|"I...uh, I have to take some pills.
Aspirin. I get headaches."|speech|TESS|F|True
1766|TOPHER|"Yeah, well, with everything thing
you've been going through I can see
how you'd need something."|speech|TOPHER|F|True
1767|TESS|They're just aspirin.|speech|TESS|F|True
1768|TOPHER|"Right. I've never taken aspirin in
my life, ever. Can you believe
that?"|speech|TOPHER|F|True
1769|TESS|That's amazing.|speech|TESS|F|True
1770|TOPHER|For me, it's like a control thing.|speech|TOPHER|F|True
1771|TESS|"Well, with aspirin...it's very
beneficial."|speech|TESS|F|True
1772|TOPHER|Oh, yeah. I'm sure.|speech|TOPHER|F|True
1773||"They are interrupted by the sound of PIERCING SIRENS and
CLANGING BELLS -- all manner of alarms coming from the
gallery containing the egg."|location|||
1774||"(CONTINUED)
117.
190   CONTINUED:                                                   190"|unknown|||
1775||"Tess rushes back to the gallery just in time to see police
officers pin Danny and his entire crew on the floor and
against walls and start handcuffing them. She freezes.
Can't move.... Her bodyguards (Frank and Basher ) grab her
and move her quickly out of the area."|location|||
1776||191   EXT. ROME POLICE HEADQUARTERS -- DAY                        191|unknown|||
1777||"Three massive Ford Excursion SUV's with diplomatic plates
double park out front, completely blocking the flow of
traffic on the narrow street.
Eight FBI agents climb out of their behemoths and walk inside
like they own the place. The boss is a 55 year-old agent
named MOLLY STARR."|location|||
1778||192   INT. LOBBY -- DAY                                           192|unknown|||
1779||"Molly Starr steps inside with her posse.   She pulls out her
badge and hangs it around her neck."|location|||
1780|AGENT MOLLY STARR|Who's in charge?|speech|AGENT MOLLY STARR|?|True
1781||"Isabel and Captain Giordano look at her and her team with
obvious trepidation."|location|||
1782||(tentative)|unknown|||
1783|ISABEL|I am.|speech|ISABEL|F|True
1784||(smelling trouble)|unknown|||
1785|CAPTAIN GIORDANO|She is.|speech|CAPTAIN GIORDANO|F|True
1786||"Molly gives a slight nod to one of her lackeys.   He thrusts
an official-looking paper at Isabel."|location|||
1787||"193   INT. ""OBSERVATION ""HALLWAY -- DAY                           193"|unknown|||
1788||"Molly swaggers down a hallway, followed by Isabel and
Giordano. She stops at an observation window and looks
through it to see Danny, who is handcuffed to a chair,
awaiting interrogation. His expression is impassive.
She moves on to the next window: Yen. Same impassive
expression. She continues down the line, Reuben, Livingston,
and Saul. Each has the same impassive expression. Through
the final window she sees Linus..."|location|||
1789||"(CONTINUED)
118.
193   CONTINUED:                                                 193"|unknown|||
1790||He's nervously tapping his foot.   Molly smiles sadistically.|location|||
1791|AGENT MOLLY STARR|Oh, yeah... I'll start with him.|speech|AGENT MOLLY STARR|?|True
1792||194   INT. INTERROGATION ROOM -- DAY                            194|unknown|||
1793||"Molly sits face-to-face with Linus. Isabel and Captain
Giordano stand in the corner and observe."|location|||
1794|AGENT MOLLY STARR|"When people think of Italy they
think of food, wine, the
Renaissance. They don't realize
Italy has the scariest prisons in
the civilized world. You know why?
They're all leftover from the
Middle Ages. They're worse than
dirty; they're damp. They're like
caves."|speech|AGENT MOLLY STARR|?|True
1795||Linus can't look her in the eye.|location|||
1796|AGENT MOLLY STARR (cont'd)|I'm the only hope you've got.|speech|AGENT MOLLY STARR|?|True
1797|LINUS|What do you want?|speech|LINUS|M|True
1798|AGENT MOLLY STARR|"Testify against the others in the
Benedict case."|speech|AGENT MOLLY STARR|?|True
1799|LINUS|I can't do that.|speech|LINUS|M|True
1800|AGENT MOLLY STARR|"Sure you can. You'll get a year,
maybe two. The Italian charges
will be dropped. You and the
others will be extradited to the US
this afternoon."|speech|AGENT MOLLY STARR|?|True
1801||A long beat.|location|||
1802|AGENT MOLLY STARR|"Think about those prisons. Think
about living there for twenty
years, getting out when you're
fifty. What a catch you'll be."|speech|AGENT MOLLY STARR|?|True
1803||"119.
195   EXT. / INT. FBI SUV -- DAY                                 195"|unknown|||
1804||"Linus is bundled into the back of the SUV. Agent Starr gets
in next to him. She motions to the driver. They pull out."|location|||
1805||196   EXT. POLICE STATION -- DAY                                 196|unknown|||
1806||"Agent Starr's SUV is followed by three other SUV's and
escorted by two Rome Police cars."|location|||
1807||197   INT. FBI SUV -- DAY                                        197|unknown|||
1808||"Linus stares morosely at the headrest in front of him.
A long, long beat...then he turns to Agent Starr:"|location|||
1809|LINUS|Did you tell Dad?|speech|LINUS|M|True
1810||"Before ""Agent Starr"" answers the agent in the passenger seat
turns around.
It's Clint Eastwood."|location|||
1811|CLINT|"Of course she did.   We're married,
for God's sake."|speech|CLINT|F|
1812||198   INT. HOTEL SUITE -- DAY                                    198|unknown|||
1813||"Tess waits. A key sounds in the door, and she is on her feet.
She reaches Danny before he's all the way in the room. She
kisses him, then remembers she's mad at him."|location|||
1814|TESS|Why didn't you tell me?|speech|TESS|F|True
1815|DANNY|I couldn't.|speech|DANNY|M|True
1816||TESS|unknown|||
1817|DANNY|Why not?|speech|DANNY|M|True
1818|DANNY|"Because you're not an actress. You
wouldn't have been so real."|speech|DANNY|M|True
1819||"(CONTINUED)
120.
198   CONTINUED:                                                198"|unknown|||
1820|TESS|I thought you were going to jail.|speech|TESS|F|True
1821|DANNY|I'm not going to jail.|speech|DANNY|M|True
1822||A beat.|location|||
1823|TESS|"So you don't think I'm a good
actress."|speech|TESS|F|True
1824|DANNY|You're a terrible liar.|speech|DANNY|M|True
1825|TESS|I'm a good liar.|speech|TESS|F|True
1826|DANNY|Where did Benedict find you?|speech|DANNY|M|True
1827||TESS|unknown|||
1828|DANNY|He...|speech|DANNY|M|True
1829|DANNY|At your parent's house.|speech|DANNY|M|True
1830|TESS|"That was...okay, so I'm not a good
liar. So what. You're good enough
for both of us."|speech|TESS|F|True
1831||DANNY|unknown|||
1832|TESS|Exactly.|speech|TESS|F|True
1833||199   EXT. CIAMPINO AIRPORT -- DAY                             199|unknown|||
1834||"The motorcade of FBI SUV's pulls through the security gate
and drives toward a US government Gulfstream parked on the
flight line.
Isabel watches with Captain Giordino and Commander Andriotti.
Linus, Saul, Yen, Livingston and Reuben get out of the SUVs,
all of them beaming. They hug Linus's mom and dad and mount
the steps to the plane. Then Rusty gets out, says goodbye to
everyone, and heads for Isabel."|location|||
1835||(eyes go wide)|unknown|||
1836|ISABEL|What the-- Oh my God!|speech|ISABEL|F|True
