|character|text|type|character_clean|gender|principal_character
1454|RUSTY|"If he gets it, we'll let you arrest
us. If we get it, you come away
with me to Zanzibar--"|speech|RUSTY|M|True
1455||ISABEL|unknown|||
1456|RUSTY|"What is your obsession with
Zanzibar?!"|speech|RUSTY|M|True
1457|RUSTY|Do you want to make the bet or not?|speech|RUSTY|M|True
1458||"(CONTINUED)
97.
153   CONTINUED:                                                  153"|unknown|||
1459|ISABEL|I'm hanging up. Stop calling me.|speech|ISABEL|F|True
1460||154   INT. HOTEL LOBBY -- DAY                                     154|unknown|||
1461||Isabel crosses to the elevators.|location|||
1462||155   INT. ISABEL'S HOTEL ROOM -- DAY                             155|unknown|||
1463||"She enters. Shuts the door behind her.   Then, instantly,
starts balling."|location|||
1464||156   INT. ROME WAREHOUSE -- DAY                                  156|unknown|||
1465||Danny and Rusty stand with Livingston.|location|||
1466|LIVINGSTON|"I'm telling you, with everything
she's done in the last twenty-four
hours...unless you happen to be
best friends with the head of
security at the museum, unless you
are someone he knows and trusts
enough to leave alone in the
gallery, after disabling about half
of their security system, forget
it. We are not stealing that
egg..."|speech|LIVINGSTON|M|True
1467|DANNY|"""Someone he knows. Someone he
trusts...."" ""Someone he knows...."""|speech|DANNY|M|True
