|character|text|type|character_clean|gender
372||She begins to drive off.|stage direction||
373|CHRIS|Thanks for the jacket.|speech|CHRIS|M
374||She toots the horn as she goes.|stage direction||
375||INT. FAMILY HOUSE|location||
376||Connie is on the phone.|stage direction||
377|CONNIE|And where is he?|speech|CONNIE|M
378||EXT. OUTSIDE SOME GARAGE|location||
379||"The Vaughn's truck pulls up at speed. They enter a garage, Pete
is on a stretcher."|stage direction||
380|MICHELLE|"It's ok mom he's stabilised. (To Chris)
It was close. Crystal Meth."|speech|MICHELLE|M
381|PETE|I'm sorry. I never did it before.|speech|PETE|M
382|KID|"It's true. We mighta kinda pushed him
into it."|speech|KID|F
383||Chris approaches the kid.|stage direction||
384|CHRIS|Where'd you get the drugs?|speech|CHRIS|M
385|KID|I'm not really sure...|speech|KID|F
386|CHRIS|Stop. Where?|speech|CHRIS|M
387|KID|"From the security guys workin at the
casino."|speech|KID|F
388||Chris gets into his truck.|stage direction||
389|CONNIE|Chris, wait. Call the police.|speech|CONNIE|M
390|CHRIS|No, that won't do any good.|speech|CHRIS|M
391||Chris speeds off. He pulls up at their home and enters the garage.|stage direction||
392|DAD|Is Pete ok?|speech|DAD|M
393|CHRIS|He'll be fine.|speech|CHRIS|M
394||Chris is searching about and forces open a cupboard.|stage direction||
395|DAD|What are you doin?|speech|DAD|M
396||Chris pulls out a shotgun and loads it.|stage direction||
397|DAD|"Aw Chris not like this. Chris listen
to me. If you go outta here with that
gun, they're gonna.. ne... Chris!"|speech|DAD|M
398||"Chris drives to the casino, he cocks the shotgun but decides
to leave it in the truck. Instead he takes a piece of wood from
the back of his truck. He enters the casino with it. He smashes
a fruit machine. A guard comes up and Chris beats him. A fight
scene breaks out with Chris beating the guards and generally
trashing the place. He takes back his special forces dogtag from
the guard who stole it. Chris hurls his piece of wood at the
VIP lounge window, smashing it to pieces. Jay emerges from behind
it."|stage direction||
399|JAY|"Guess that changes our relationship
a bit huh?"|speech|JAY|M
400||"Chris leaves. As he drives off in his truck, police cars appear
with sirens going. He pulls over."|stage direction||
401|SHERIFF WATKINS|"You should NOT have come looking for
trouble. Keep your hands up, get out
of the vehicle now Chris! NOW!"|speech|SHERIFF WATKINS|?
402||INT. POLICE STATION ROOM|location||
