|character|text|type|character_clean|gender
147|TITLE CARD|"We see a garage crowded with disassembled Apple
computers, printers, and a Harley Davidson Sportster.
Out walks DUDLEY, who's biker outfit doesn't quite mesh
with his thick-lensed eyeglasses.
Dudley cockily pulls on a ""Wild Hogs"" jacket, kick starts
the motorcycle, presses a button to open the garage door,
and rides the motorcycle out. However, as he gets
halfway out of the garage, the garage door catches on
something, and snaps back down. It clotheslines Dudley
off the bike, which rolls down the driveway and into some
garbage cans. Dudley lays in the driveway, staring up at
the sky with a pained look on his face."|speech|TITLE CARD|?
148||EXT. DUDLEY'S DRIVEWAY - A FEW MINUTES LATER|location||
149|TITLE CARD|"DOUG, BOB and WOODY ride towards Dudley's house, but find
DUDLEY sitting in his driveway with his arms around his
knees. He shrugs and motions to his motorcycle - Which
he has stood back up, but has a bent wheel and smashed
headlight. Doug and Bob take in the situation and then
look at Woody. Woody rolls his eyes..."|speech|TITLE CARD|?
150||EXT. STREET - LATER|location||
151|TITLE CARD|"DOUG, BOB and WOODY ride along. We see DUDLEY is riding
bitch on Woody's bike, and Woody doesn't seem thrilled
about it. The camera pans around and we see they are all
wearing ""Wild Hogs"" jackets. And on this, we:
END MUSIC CUE"|speech|TITLE CARD|?
152||"EXT. ""BYKER'S ISLAND"" BIKER BAR - LATER"|location||
153|DISSOLVE TO:|"The guys pull up at a biker-theme bar with a motorcycle
mounted above the entrance.
""Wild Hogs"" writers first draft 7/06/05 16.
Woody is obviously humiliated to have Dudley behind him,
as they park the bikes among a crowd of other bikers.
Dudley climbs off the back of Woody's bike and pats him
on the shoulder."|speech|DISSOLVE TO:|?
154|DUDLEY|"Thanks, Woody. I feel really safe with
you."|speech|DUDLEY|M
155|WOODY|"I noticed that. And if you ever lay your
head on my back when you're riding bitch
again, I'm going to throw you into
traffic."|speech|WOODY|M
156|DUDLEY|"I was trying to keep my face out of the
wind."|speech|DUDLEY|M
157|WOODY|I felt you smell my hair!|speech|WOODY|M
158|DOUG|"Guys! Come on. Let's go get a brew.
I'm buying.
Doug heads into the bar."|speech|DOUG|M
159|BOB|"You're cool with the carbs?
Doug pauses, without turning around."|speech|BOB|M
160|"DOUG
(MUMBLES)"|"I can have a light.
Doug continues into the bar, but now with less swagger."|speech|DOUG|M
161||"INT. ""BYKER'S ISLAND"" BIKER BAR - A MOMENT LATER"|location||
162|"DOUG
(MUMBLES)"|"The guys are sitting at a worn table. The place is
crowded with curiously gentle-looking bikers. Woody
looks around the bar with a smirk."|speech|DOUG|M
163|WOODY|"Man, I wish we could find a place that
wasn't so freaking lame."|speech|WOODY|M
164|BOB|"What are you talking about? This place
is cool. We're with other bikers.
""Wild Hogs"" writers first draft 7/06/05 17.
Suddenly, a large, bald biker comes up and slams a beer
down on their table."|speech|BOB|M
165|"BALD BIKER
(ANGRILY)"|"Wild Hogs aren't welcome here!
The guys all look at him for a beat - then the Bald guy
cracks a smile."|speech|BALD BIKER|F
166|DOUG|"Hey, Paul.
PAUL laughs at his joke."|speech|DOUG|M
167|PAUL|"Hey, guys... Woody, your tax return is
almost done, but I want to talk to you
next week about incorporating. A lot of
my executive clients have been--"|speech|PAUL|M
168|WOODY|"Yeah, Paul. I'll talk to you about it on
the trip."|speech|WOODY|M
169|PAUL|"Yeah, we'll talk about in Daytona.
(angrily, to group)
What the hell are you staring at!?
Paul glares at the other guys for a beat, then cracks up."|speech|PAUL|M
170|"PAUL (CONT'D)
(LAUGHING)"|"See you guys.
Paul exits. Woody shakes his head."|speech|PAUL|M
171|WOODY|"This place sucks. Why are we going to
Daytona with these posers?"|speech|WOODY|M
172|DOUG|"Because it's Bike Week. That's our
annual trip, Woody. We're Wild Hogs."|speech|DOUG|M
173|WOODY|"We're not Wild Hogs. That's a patch your
wife made and we all had to sew it on our
jackets so she didn't feel bad.
""Wild Hogs"" writers first draft 7/06/05 18."|speech|WOODY|M
174|DOUG|"Hey! She took an embroidery class for
those. What has your wife ever made us?"|speech|DOUG|M
175|"BOB
(QUIETLY)"|Hard.|speech|BOB|M
176|WOODY|Hey!?|speech|WOODY|M
177|BOB|Sorry. I didn't... Don't tell her.|speech|BOB|M
178|DOUG|"It's not a big secret, Bob. She's a
swimsuit model. She's hot. I mean, so
is my Kelly. She's very hot. Even after
ten years. Not that I'm not still good
looking...
Doug looks at the guys. They don't respond."|speech|DOUG|M
179|WOODY|We're not going to say you're hot, man.|speech|WOODY|M
180|DOUG|Because it's gay, or because I'm not?|speech|DOUG|M
181|WOODY|There's no non-gay response to that.|speech|WOODY|M
182|"DUDLEY
(TO DOUG)"|"If I were a girl, I'd be attracted to
you."|speech|DUDLEY|M
183|WOODY|Point proven.|speech|WOODY|M
184|BOB|"Well, Kelly must still think you're hot.
Ten years, man. How's that feel?"|speech|BOB|M
185|DOUG|"I don't know. Good, I guess. Is ten the
silver anniversary?"|speech|DOUG|M
186|DUDLEY|"No, that's the 25th. Ten is aluminum.
""Wild Hogs"" writers first draft 7/06/05 19."|speech|DUDLEY|M
187|DOUG|"Aluminum? Like, siding?
(considers, then)
Yeah, that feels about right. Aluminum
is sturdy, lightweight... recycled.
Woody smiles and puts a map down on the table."|speech|DOUG|M
188|WOODY|"--And ready for the trip of a lifetime.
The guys look at the map, puzzled."|speech|WOODY|M
189|DOUG|"We don't need a map for Daytona. We just
follow the group.
Woody takes a drink from his beer, then looks at the
group with a mischievous fire behind his eyes."|speech|DOUG|M
190|WOODY|Not if we don't go on the Daytona trip.|speech|WOODY|M
191|DOUG|What?|speech|DOUG|M
192|DUDLEY|Noooo!!|speech|DUDLEY|M
193|WOODY|"Guys, listen to me. It's time for a
change. Let's go on our own trip this
year. Just us, like it was in college.
Forget these guys. Forget Daytona beach.
Bike Week is just corporate white guys
playing dress up. This bar is, too. And
we didn't get into this to play dress up -
we got in this to live. ""Be cool and
Ride free."" That's the Wild Hog creed."|speech|WOODY|M
194|DOUG|"No, it's not. It's the slogan for the
Downtown trolley."|speech|DOUG|M
195|WOODY|"I know. But, it works as our creed, too.
So let's live it!"|speech|WOODY|M
196|DUDLEY|"But, I boogie board in Daytona. Can't
our creed be ""Be cool and boogie board?""
""Wild Hogs"" writers first draft 7/06/05 20."|speech|DUDLEY|M
197|WOODY|"No. That's dumb, Dudley. Let the big
people talk."|speech|WOODY|M
198|DOUG|"Well, what kind of trip are you
suggesting? Another bike week somewhere?"|speech|DOUG|M
199|WOODY|"No. That's the best part. We don't do
some planned out trip. We follow the
open road. U.S. 50. The backbone of
America. We take a week and go all the
way to San Francisco. Think about it,
guys. Camping out, stopping wherever we
want, whenever we want... Just freedom.
When was the last time we had that?
The guys consider this, but look sceptical."|speech|WOODY|M
200|BOB|I don't know, man.|speech|BOB|M
201|WOODY|You're afraid to ask your wife.|speech|WOODY|M
202|"BOB
(COVERING)"|No...|speech|BOB|M
203|"WOODY
(TO DOUG)"|What do you think?|speech|WOODY|M
204|DOUG|"Well, Daytona isn't the ""backbone of
America,"" but it is a tradition. We've
been riding with this club for years. Do
we really want to miss out on that?
One of the bikers, KENT, approaches carrying a box."|speech|DOUG|M
205|KENT|"Hey, dudes. Check these out.
Kent holds up a sleeveless t-shirt with a big cartoon guy
on a motorcycle - with the words ""Born to Be Wild!
Daytona ride, 2005."" It's horrifying."|speech|KENT|?
206||KENT (CONT'D)|location||
207|KENT|"We're all going to wear these on the
trip."|speech|KENT|?
208|(MORE)|"""Wild Hogs"" writers first draft 7/06/05 21."|speech||
209|KENT (CONT'D)|"That way everyone will know we're from
the Cincinnati chapter. It'll also get
you ten percent off at T.G.I.Fridays."|speech|KENT|?
210|DUDLEY|"Cool! Born to be wild!
Dudley grabs a shirt and starts to pull it over the t-
shirt he already has on. Woody gives a look to Bob and
Doug."|speech|DUDLEY|M
211|DOUG|Look, We'll talk about it tomorrow. But|speech|DOUG|M
212||"we don't need some trip to go ""live."" We
are living. Free and wild.
SMASH CUT TO:"|stage direction||
213||INT. DOUG'S HOUSE - THE NEXT EVENING|location||
214||The anniversary party is in full swing. DOUG is watching|stage direction||
215|DOUG|"several guests dish steaming pasta and cream sauce out of
a chaffing dish. He looks down at his plate of field
greens and skinless chicken breast."|speech|DOUG|M
216|"DOUG
(TO HIMSELF)"|"Free and wild.
Doug looks around the party. Several middle-aged couples
are dancing on the living room floor. Others mingle,
laughing... Everyone is having a great time, except Doug,
who stands there, listless.
Kelly walks up and kisses him on the cheek."|speech|DOUG|M
217|KELLY|Hey, sweetie. Having fun?|speech|KELLY|M
218|DOUG|"Yeah. It's getting pretty late, though.
Maybe we should kill the music. Drop a
hint."|speech|DOUG|M
219|KELLY|It's eight O'Clock. It started at seven.|speech|KELLY|M
