|character|text|type|character_clean|gender
1247|DASCOMBE|He's gone, Adam.  It's over.|speech|DASCOMBE|M
1248||The Leader trembles like a volcano set to blow.|stage direction||
1249|LEADER|"It's over, is it?  He's gone.
Vanished, you say?"|speech|LEADER|M
1250||"The Leader grabs a large box from the floor and hurls reams
of computer printout across the table."|stage direction||
1251|LEADER|"Transcripts recorded over the last
thirty days in which the terrorist
was talked about or mentioned in a
positive context.  This is only
thirty days!"|speech|LEADER|M
1252||"He punches a ""play"" button and a wall of monitors blink on.
It is a recording of a television variety show.
A character that is made to look like Adam Susan is giving a
speech.  A woman is dressed like V except that the only thing
she is wearing under her cloak is a garter belt, stockings
and high heels.
V sneaks up behind Susan and yanks his pants down.  Susan is
outraged but when he gives chase he trips over his pants.
The audience hoots and howls.
The Leader kills the tape."|stage direction||
1253|LEADER|"Is this what you consider,
""disappeared?"""|speech|LEADER|M
1254|DASCOMBE|"For god's sake, Adam, it's a stupid
variety show."|speech|DASCOMBE|M
1255|LEADER|"Mr. Creedy, I want the producers,
writers, and actors of that ""stupid
variety show"" arrested and charged
with sedition."|speech|LEADER|M
1256|CREEDY|Yes, sir.|speech|CREEDY|M
1257|DASCOMBE|You can't be serious --|speech|DASCOMBE|M
1258|LEADER|"Push me, Roger, push me and you'll
find out how serious I am."|speech|LEADER|M
1259||He stares each of them to silence.|stage direction||
1260|LEADER|"This, this V is still out there.  I
can feel him like a sickness
worming its way into the hearts and
minds of the public.  Something
must be done, and done quickly, to
exorcise this demon for the very
soul of this country is at stake."|speech|LEADER|M
1261||He pauses.|stage direction||
1262|LEADER|"That is why I am compelled to give
each and every one of you notice
that if by the fifth of November
you are still giving me nothing
more than excuses, I will have to
revoke your party status and
terminate your positions."|speech|LEADER|M
1263||Everyone is stunned.|stage direction||
1264|LEADER|"Mr. Creedy, I will speak with you
in private.  The rest of you are
dismissed.  England prevails."|speech|LEADER|M
1265||INT.  LEADER'S PRIVATE QUARTERS|location||
1266||The Leader stands at the window.|stage direction||
1267|LEADER|"Mr. Creedy, as the new head of the
Finger, you are the most important
member of my cabinet."|speech|LEADER|M
1268|CREEDY|I, uh, appreciate your faith in me.|speech|CREEDY|M
1269|LEADER|"Your predecessor, Mr. Almond, was a
good man, a man who understood what
strength in unity meant, a man who,
above all, loved his country.  I
need to know if you are such a man."|speech|LEADER|M
1270||His eyes bore into him.|stage direction||
1271|LEADER|"Do you love your country, Mr.
Creedy?"|speech|LEADER|M
1272||EXT.  ALLEYWAY|location||
1273||"A police car is parked in a dark alley.  It is raining and
the windows of the car are completely steamed."|stage direction||
1274|CREEDY|Oh god, yes!|speech|CREEDY|M
1275||"He is sweating, his knuckles white as he squeezes the
steering wheel, panting.
We hear a noise like a very wet kiss and then a woman's
voice."|stage direction||
1276|HELEN|"""The most important member of my
cabinet.""  Yes it is, isn't it,
dear?"|speech|HELEN|F
1277||"Helen lifts her head out of his lap.  Her lipstick is smeared
about her mouth."|stage direction||
1278|CREEDY|Oh, don't stop.|speech|CREEDY|M
1279|HELEN|"I stop when you stop.  What did he
say next?"|speech|HELEN|F
1280|CREEDY|I can't --|speech|CREEDY|M
1281||She whispers in his ear while playing with his lap.|stage direction||
1282|HELEN|"Come on, Peter, what are you afraid
of?  Almond used to tell me
everything and you're twice the man
he was."|speech|HELEN|F
1283|CREEDY|"He asked me... if I loved my
country."|speech|CREEDY|M
1284|HELEN|"Oh yes, I can tell you do love your
country, almost as much as you love
this..."|speech|HELEN|F
1285||She lowers her head into this lap.|stage direction||
1286|CREEDY|Oh god...|speech|CREEDY|M
1287|HELEN|Go on.|speech|HELEN|F
1288|CREEDY|"Then he asked me to do something...
oh, oh..."|speech|CREEDY|M
1289|HELEN|What?|speech|HELEN|F
1290|CREEDY|Helen, I can't.  I can't tell you.|speech|CREEDY|M
1291||Helen lifts her head.|stage direction||
1292|HELEN|"He told you to frame someone as the
terrorist."|speech|HELEN|F
1293|CREEDY|My god?!  How did you know that?|speech|CREEDY|M
1294|HELEN|I know Adam Susan.  Now who was it?|speech|HELEN|F
1295|CREEDY|No way.  I can't tell you that.|speech|CREEDY|M
1296|HELEN|"Yes you can, honey.  You can and
you will.  You have to trust me,
love.  We're going to help each
other."|speech|HELEN|F
1297|CREEDY|Helen, please.|speech|CREEDY|M
1298|HELEN|"Look at that face.  You see?
You're just bursting to tell me."|speech|HELEN|F
1299||Her head drops back down.  Creedy moans.|stage direction||
1300|HELEN|Now who was it?|speech|HELEN|F
1301|CREEDY|It was... Fi... Fi... FINCH!|speech|CREEDY|M
1302||The name seems to orgasm from his mouth.|stage direction||
1303||INT.  FINCH'S APARTMENT|location||
1304||"Finch sits alone in his modest apartment, reading a book.
The book is Koesterler's, ""The Roots of Coincidence.""
An old CD player is playing music, a Bach piano concerto."|stage direction||
1305||INT.  SHADOW GALLERY|location||
1306||"V is playing the exact same concerto on his piano, his gloved
fingers gracefully flitting across the keys.
Evey enters the gallery.  Her hair has grown out but is still
short.  She projects a kind of strength that comes from a
deep inner peace.
V coaxes the final delicate notes and lets them softly fade."|stage direction||
1307|EVEY|That was beautiful.|speech|EVEY|F
1308||She walks up to him and takes the smiling face in her hands.|stage direction||
1309|EVEY|"I've wanted to do this for a long
time."|speech|EVEY|F
1310||She bends and gently kisses the frozen lips.|stage direction||
1311|EVEY|"Thank you, V.  Thank you for
everything you've done for me."|speech|EVEY|F
1312|V|"You did it all yourself, Evey.  I
just provided the backdrop but the
drama was all your own."|speech|V|F
1313|EVEY|"It was a good backdrop.  I believed
it.  I really did.  It's still a
bit hard for me to accept that it
wasn't real.  That it was just you.
Especially the letter."|speech|EVEY|F
1314||She takes the letter from her pocket.|stage direction||
1315|EVEY|"It is a beautiful letter, V.  Every
time I read it I could feel
Valerie, almost like she was
holding me.  I believed in her most
of all.  I believed that she loved
me and I loved her back."|speech|EVEY|F
1316||She looks down.|stage direction||
1317|EVEY|"I feel a bit foolish telling you
this.  I know that you must have
written it and thought you should
have it back."|speech|EVEY|F
1318|V|"But I didn't write that letter,
Evey."|speech|V|F
1319|EVEY|What?|speech|EVEY|F
1320|V|Come with me.|speech|V|F
1321||INT.  VALERIE'S ROOM|location||
1322||"It is a shrine.  The walls are covered with movie posters and
reviews and pictures of an actresses named Valerie Page.  We
recognize her as the woman chosen for the medical block just
before V.
Everywhere there are flower boxes filled with blooming roses;
violet carsons."|stage direction||
1323|EVEY|Valerie?|speech|EVEY|F
1324|V|"Yes.  Valerie Page.  She was the
woman in room four."|speech|V|F
1325|EVEY|She's beautiful.|speech|EVEY|F
1326|V|"She wrote the letter just before
she died.  I delivered it to you as
it was delivered to me.  The words
you wept over were the same words
that transformed me."|speech|V|F
1327||Evey smiles and bends to smell the roses.|stage direction||
1328|EVEY|Roses.  You grew them for her.|speech|EVEY|F
1329|V|Yes.|speech|V|F
1330|EVEY|They're beautiful.|speech|EVEY|F
1331|V|Evey, do you know what day it is?|speech|V|F
1332|EVEY|"Two days before the first day we
met."|speech|EVEY|F
1333|V|You remembered.|speech|V|F
1334|EVEY|"You're planning something, aren't
you, V?"|speech|EVEY|F
1335|V|You know me too well now.|speech|V|F
1336|EVEY|What are you going to do?|speech|EVEY|F
1337|V|"I'm going to fulfill an old
promise."|speech|V|F
1338||Evey cocks an eyebrow.|stage direction||
1339|V|I'll show you.|speech|V|F
1340||INT.  UNDERGROUND STAIRWELL|location||
1341||Carrying a lantern, V leads Evey down a dark stone staircase.|stage direction||
1342|EVEY|I've never been here before.|speech|EVEY|F
1343|V|"Yes.  It is the deepest part of my
home.  Once you know it, I should
think you'll know everything."|speech|V|F
1344||"He pushes a button and a secret passage opens in a heavy
stone wall.
There is a small narrow series of passageways that he guides
her through, leading to another door.  Evey steps out into an
underground subway station."|stage direction||
1345||INT.  VICTORIA STATION|location||
1346||"Parked beside the concrete platform is a beautiful antique
train car."|stage direction||
1347|EVEY|"Oh, V, it's lovely.  Where on earth
did you find it?"|speech|EVEY|F
1348|V|"In a way, I suppose it really found
me."|speech|V|F
1349||"Evey steps into the train car and finds it filled with little
packages wrapped in wax paper."|stage direction||
1350|EVEY|What's in these packages?|speech|EVEY|F
1351|V|Gelignite.|speech|V|F
1352||She screams and almost drops one.|stage direction||
1353|V|Careful.|speech|V|F
1354|EVEY|"What are you going to do with all
of it?"|speech|EVEY|F
1355|V|"I told you.  I'm going to finish
what was started four hundred years
ago."|speech|V|F
1356|EVEY|Where does this train go?|speech|EVEY|F
1357|V|"This is the old Victoria line but
it is blocked, blocked somewhere
between Whitehall and St. James."|speech|V|F
1358|EVEY|"Whitehall... V, that's the New
Government Building."|speech|EVEY|F
1359||V nods.|stage direction||
1360|EVEY|"But the underground has been shut
down for years.  How are you going
to make it run without any power?"|speech|EVEY|F
1361|V|"I just thought I might ask them to
turn it on for me."|speech|V|F
1362||INT.  LEADER'S OFFICE|location||
1363||"The Leader sits bathed in the flickering images of the Fate
computer."|stage direction||
1364|LEADER|Yes, Mr. Creedy?|speech|LEADER|M
1365|CREEDY|Everything's set, sir.  No worries.|speech|CREEDY|M
1366|LEADER|When?|speech|LEADER|M
1367|CREEDY|Tonight.|speech|CREEDY|M
1368||On one of the screens, a television program has just begun.|stage direction||
1369|ANNOUNCER|"Tonight on Tales from the Bible, a
story of treachery and betrayal
from the Book of Daniel."|speech|ANNOUNCER|?
1370||We cut from that screen to another screen --|stage direction||
1371||INT.  JORDAN TOWER - CONTROL BOOTH|location||
1372||"The television studio where Roger Dascombe surveys a large
bank of monitors filled with the images of typically vapid
television entertainment."|stage direction||
1373|DASCOMBE|"All of London's waiting.  Ready,
two.  And here we go --"|speech|DASCOMBE|M
1374||"A player locks on as a recorded program begins.  We move in
as the logo slashes across the screen: Storm Saxon."|stage direction||
1375|ANNOUNCER|"Tonight, England's greatest hero
repels the forces of darkness in a
brand new episode."|speech|ANNOUNCER|?
