;vocab_male;vocab_male_count;vocab_female;vocab_female_count
494;science;32;beneath;12
495;engine;32;inch;12
496;village;32;drink;12
497;edge;32;throne;12
498;dozen;31;pool;12
499;movie;31;percent;12
500;leg;31;star;12
501;buddy;31;path;11
502;killer;31;dna;11
503;hostage;31;hurt;11
504;island;31;berlin;11
505;casino;31;machine;11
506;blue;31;gate;11
507;murder;31;bridge;11
508;cool;31;contact;11
509;sun;31;bomb;11
510;shirt;31;kitchen;11
511;nature;30;photo;11
512;desert;30;vision;11
513;blast;30;charge;11
514;club;30;text;11
515;message;30;market;11
516;equipment;30;living;11
517;keep;30;cobb;11
518;bastard;30;wudan;11
519;dawn;30;senator;11
520;hunsiker;30;worry;11
521;b;30;stone;11
522;giant;30;freddy;11
523;finger;30;trip;11
524;boss;30;authorization;11
525;fucking;30;paper;11
526;dolarhyde;30;foot;11
527;wind;29;jen;11
528;future;29;king;11
529;target;29;gold;11
530;contact;29;wayne;11
531;evidence;29;load;11
532;hall;29;structure;11
533;wolf;29;sort;11
534;department;29;conrad;11
535;crew;29;scene;11
536;form;29;attack;11
537;meeting;29;fear;11
538;direction;29;tape;11
539;van;29;loki;11
540;bomb;28;favor;11
541;date;28;courtyard;11
542;roger;28;drug;11
543;smile;28;government;11
544;odin;28;lord;10
545;drug;28;hero;10
546;rule;28;secure;10
547;smoke;28;goodbye;10
548;diner;28;cassiopeia;10
549;dance;28;surprise;10
550;price;28;ceiling;10
551;volstagg;28;scream;10
552;commander;28;plate;10
553;attack;28;hammer;10
554;bud;28;speak;10
555;surface;28;conference;10
556;surprise;28;bastard;10
557;skin;28;hunt;10
558;dennis;28;reception;10
559;track;28;cat;10
560;finn;28;magnus;10
561;chief;28;birthday;10
562;goin;28;torch;10
563;join;28;zadek;10
564;coulson;28;pair;10
565;record;28;drive;10
566;strike;27;bullshit;10
567;holy;27;speed;10
568;release;27;lady;10
569;saul;27;table;10
570;child;27;knife;10
571;chain;27;hiccup;10
572;crater;27;mask;10
573;vision;27;month;10
574;sex;27;darkness;10
575;drink;27;search;10
576;sister;27;action;10
577;cannot;27;fool;10
578;wow;27;feed;10
579;frost;27;access;10
580;finch;27;emergency;10
581;living;27;decision;10
582;know;27;run;10
583;motherfucker;27;roxanne;10
584;fine;27;uh;10
585;sort;27;shock;10
586;tunnel;27;ryan;10
587;throat;27;jump;10
588;bug;27;pressure;10
589;approach;27;crap;10
590;corn;27;ben;10
591;senator;27;blip;10
592;ape;27;bring;10
593;conversation;27;huntsman;10
594;mike;27;fucker;10
595;boom;27;httyd;10
596;accident;26;fate;10
597;image;26;support;10
598;doubt;26;boom;10
599;robot;26;sleep;9
600;remember;26;type;9
601;bed;26;blade;9
602;quit;26;rescue;9
603;effect;26;l;9
604;jackson;26;yesterday;9
605;joke;26;project;9
606;r;26;strength;9
607;ha;26;radio;9
608;jesse;25;future;9
609;reality;25;finger;9
610;flash;25;nature;9
611;chimp;25;beer;9
612;notice;25;amoun;9
613;fence;25;wound;9
614;rudy;25;crater;9
615;faith;25;hang;9
616;structure;25;dylan;9
617;carter;25;shadow;9
618;jotun;25;afternoon;9
619;border;25;crowd;9
620;panel;25;p;9
621;crazy;25;cost;9
622;access;25;box;9
623;mention;25;ferry;9
624;julia;25;frank;9
625;christmas;25;grandma;9
626;driver;25;emotion;9
627;tower;25;track;9
628;buck;25;roger;9
629;darcy;25;wonder;9
630;emmett;25;pov;9
631;httyd;25;blah;9
632;lead;25;ya;9
633;unit;24;smith;9
634;blade;24;communication;9
635;damage;24;log;9
636;letter;24;rage;9
637;address;24;taste;9
638;dress;24;device;9
639;imagine;24;fall;9
640;rnewman;24;enter;9
641;danger;24;sand;9
642;grab;24;share;9
643;palace;24;dress;9
644;shop;24;style;9
645;till;24;zander;9
646;jail;24;issue;9
647;wonder;24;imagine;9
648;technology;24;storm;9
649;elevator;24;mama;9
650;source;24;store;9
651;charley;24;reach;9
652;path;24;fine;9
653;sure;24;governor;9
654;traffic;24;chase;9
655;sue;24;cuz;9
656;store;24;sight;9
