;vocab_male;vocab_male_count;vocab_female;vocab_female_count
699;lucy;3;diggeri;1
700;revenge;3;lout;1
701;wash;3;shush;1
702;hood;3;cleaning;1
703;chest;3;hearing;1
704;grave;3;wash;1
705;doc;3;comin;1
706;dr;3;force;1
707;bat;3;hood;1
708;ban;3;toy;1
709;cousin;3;top;1
710;beer;3;haaaaaaa;1
711;moan;3;percentage;1
712;evil;3;john;1
713;butter;3;bitter;1
714;shadow;3;sshhh;1
715;zoom;3;stoic;1
716;jerk;3;target;1
717;security;3;coward;1
718;ahhh;3;project;1
719;bath;3;flame;1
720;ahh;3;iron;1
721;support;3;fashion;1
722;evidence;3;caleb;1
723;ship;3;ginger;1
724;glass;3;spent;1
725;pacer;3;ray;1
726;push;3;snow;1
727;charge;3;elegance;1
728;choice;3;fitting;1
729;grump;3;rider;1
730;brawn;3;gravy;1
731;teacher;3;eurotrash;1
732;boo;3;letter;1
733;bloody;3;coil;1
734;ooo;3;konstantin;1
735;ooh;3;grave;1
736;birthday;3;doo;1
737;grow;3;camp;1
738;gate;3;metal;1
739;introduce;3;sarlaac;1
740;quarter;3;pointy;1
741;ey;3;reserve;1
742;space;3;bait;1
743;someplace;3;reactor;1
744;boobs;3;queen;1
745;karate;3;prix;1
746;breakfast;3;toast;1
747;saw;3;carbine;1
748;equipment;3;brimstone;1
749;concern;3;gingko;1
750;lawn;3;di;1
751;drive;3;wedding;1
752;crane;3;dr;1
753;otis;3;warfare;1
754;believing;3;bay;1
755;wooo;3;bag;1
756;gee;3;lovat;1
757;husband;3;fair;1
758;sport;3;habit;1
759;notice;3;damnation;1
760;pole;3;r;1
761;boat;3;finger;1
762;hunh;3;mum;1
763;trick;3;drawn;1
764;pippa;3;approach;1
765;return;3;lazy;1
766;hyah;3;confusion;1
767;bottle;3;termite;1
768;file;3;roller;1
769;sandman;3;pity;1
770;moi;3;eggnog;1
771;traffic;3;brat;1
772;deti;3;cob;1
773;titan;3;brad;1
774;mood;3;distinction;1
775;football;3;speak;1
776;ok;3;futility;1
777;meal;3;jackass;1
778;pistachio;3;tallest;1
779;wilde;3;location;1
780;amongst;3;catch;1
781;pull;3;spin;1
782;grasp;3;chill;1
783;ar;3;apprehension;1
784;forget;3;mistake;1
785;smile;3;iz;1
786;grabs;3;sushi;1
787;go;3;throat;1
788;action;3;clinging;1
789;mall;3;growl;1
790;garden;3;perform;1
791;scott;3;beside;1
792;style;3;wheel;1
793;sauce;3;swell;1
794;sssh;3;rail;1
795;cupcake;3;kid;1
796;mystery;3;fooshie;1
797;operation;3;charlie;1
798;balance;3;yea;1
799;ask;3;photo;1
800;circuit;3;yee;1
801;welcome;3;beset;1
802;station;3;yep;1
803;mmmm;3;tagline;1
804;trapper;3;character;1
805;vision;3;chartreuse;1
806;boulder;3;prison;1
807;river;3;east;1
808;deactivate;3;hat;1
809;league;3;destroy;1
810;restaurant;3;dishonest;1
811;buzz;3;remind;1
812;secret;3;officer;1
813;whoo;3;ruffnut;1
814;ahhhh;3;pleeeeeeeeease;1
815;flight;3;dead;1
816;looo;3;election;1
817;match;3;escape;1
818;pack;3;dear;1
819;italy;3;periphery;1
820;defeat;3;aaaaah;1
821;yesterday;3;peek;1
822;cup;3;bold;1
823;knock;3;corn;1
824;collect;3;super;1
825;parade;3;plum;1
826;plaza;3;beldam;1
827;dude;3;cliche;1
828;fast;3;nerve;1
829;freak;3;ahh;1
830;curb;3;taffy;1
831;lane;3;deal;1
832;reactor;3;shhhh;1
833;video;3;wad;1
834;acid;3;greatness;1
835;opinion;3;gin;1
