;vocab_male;vocab_male_count;vocab_female;vocab_female_count
762;ghost;14;r;5
763;hammond;14;track;5
764;aunt;14;woof;5
765;kitchen;14;vision;5
766;mib;14;reaction;5
767;america;14;spirit;5
768;stare;14;soil;5
769;prepare;14;tamburlane;5
770;darkness;14;spyros;5
771;fool;14;island;5
772;miss;14;empress;5
773;vault;14;rush;5
774;governor;14;ad;5
775;authority;14;tv;5
776;ho;14;smith;5
777;wilderness;14;mill;5
778;calm;14;pick;5
779;chest;14;mustangburger;5
780;journey;14;division;5
781;mail;14;response;5
782;jotunheim;14;coat;5
783;copy;14;member;5
784;color;14;infantery;5
785;cash;14;hill;5
786;beast;14;launch;5
787;locker;13;miss;5
788;travel;13;store;5
789;damage;13;caesar;5
790;dozen;13;gort;5
791;knew;13;fine;5
792;grace;13;giant;5
793;cry;13;courage;5
794;location;13;cry;5
795;doorway;13;insane;5
796;pressure;13;culture;5
797;lab;13;movie;5
798;evidence;13;wow;5
799;terror;13;orphanage;5
800;pool;13;fenland;5
801;soldier;13;cinco;5
802;threat;13;lie;5
803;fischer;13;chest;5
804;civilization;13;eric;5
805;click;13;goddamn;5
806;farm;13;faith;5
807;bed;13;visit;5
808;tent;13;e;5
809;ashley;13;go;5
810;reflection;13;video;5
811;fate;13;joppa;5
812;combination;13;crap;5
813;amoun;13;animal;5
814;shame;13;lo;5
815;effort;13;orange;5
816;chamber;13;beneath;5
817;bloom;13;armor;5
818;pleasure;13;keep;5
819;fish;13;sack;5
820;fine;13;owner;5
821;knock;13;bet;5
822;decision;13;agency;5
823;shuttle;13;combat;5
824;blue;13;demigod;5
825;finger;13;ball;5
826;presence;13;footage;5
827;bullet;13;church;5
828;port;13;conference;5
829;r;13;union;5
830;mister;13;winch;5
831;crime;13;wish;5
832;quit;13;display;5
833;glad;13;draco;5
834;harmsway;13;ghost;5
835;townsfolk;13;chaos;4
836;rainbow;13;trailer;4
837;gru;13;intercut;4
838;porch;13;screams;4
839;boom;13;protection;4
840;thunder;12;celebration;4
841;hurt;12;glance;4
842;series;12;dna;4
843;project;12;foster;4
844;chair;12;relay;4
845;avid;12;henri;4
846;grandma;12;lab;4
847;rage;12;blind;4
848;cable;12;bank;4
849;harry;12;chuck;4
850;transmission;12;series;4
851;broch;12;network;4
852;imagine;12;surprise;4
853;belt;12;dammit;4
854;tara;12;atv;4
855;cage;12;bite;4
856;put;12;target;4
857;stage;12;rat;4
858;pursuit;12;seed;4
859;fan;12;snow;4
860;repeat;12;scream;4
861;da;12;sugar;4
862;bunny;12;steal;4
863;division;12;finger;4
864;p;12;debt;4
865;saito;12;cow;4
866;curtis;12;speak;4
867;jamie;12;catch;4
868;william;12;chill;4
869;e;12;legion;4
870;noise;12;cape;4
871;bet;12;officer;4
872;bastard;12;hushabye;4
873;key;12;horizon;4
874;ninety;12;calm;4
875;deck;12;heat;4
876;hook;12;odyssey;4
877;explain;12;journey;4
878;balance;12;weekend;4
879;opportunity;12;ballet;4
880;failure;12;zone;4
881;daddy;12;environment;4
882;crazy;12;cook;4
883;till;12;rome;4
884;mjolnir;12;thirty;4
885;dollar;12;altar;4
886;robinson;12;leviathan;4
887;create;12;ferry;4
888;cloud;12;grow;4
889;expedition;12;police;4
890;train;12;window;4
891;property;12;policy;4
892;ms;12;bath;4
893;orion;12;eh;4
894;difference;12;spock;4
895;bathroom;12;someplace;4
896;wound;12;marine;4
897;theory;12;language;4
898;motion;12;charleston;4
899;nion;12;television;4
900;ok;12;sal;4
901;taste;12;sure;4
902;paradise;12;trace;4
903;observatory;12;price;4
904;intelligence;12;shop;4
905;defense;12;comb;4
906;prince;12;expression;4
907;motor;12;containment;4
908;afraid;12;west;4
909;movie;12;direction;4
910;andromeda;12;evening;4
911;ring;11;oil;4
912;scream;11;ya;4
913;pocket;11;blow;4
914;duir;11;simulator;4
915;facility;11;table;4
916;explorer;11;throat;4
917;gordon;11;meaning;4
918;phil;11;act;4
919;dare;11;malfunction;4
920;barton;11;fantasy;4
921;meal;11;stare;4
922;aw;11;cycle;4
923;tail;11;pull;4
924;scar;11;ogre;4
925;dress;11;operation;4
926;asgard;11;insurance;4
927;impact;11;mask;4
928;insane;11;liar;4
929;connection;11;apartment;4
930;majesty;11;commander;4
931;coincidence;11;horror;4
932;church;11;list;4
933;process;11;tea;4
934;perfect;11;version;4
935;dammit;11;mmm;4
936;laufey;11;search;4
937;secretary;11;kick;4
938;photo;11;company;4
939;octavius;11;stick;4
940;gus;11;goat;4
941;q;11;trade;4
942;club;11;hunter;4
943;carl;11;terrain;4
944;anger;11;detach;4
945;trick;11;harm;4
946;mustangburger;11;issue;4
947;evening;11;bye;4
948;liz;11;uncle;4
949;circle;11;mist;4
950;skull;11;swarm;4
951;university;11;paint;4
952;freeze;11;relationship;4
953;treat;11;sector;4
954;destruction;11;giang;4
955;rosomorf;11;hit;4
956;loss;11;x;4
957;dug;11;set;4
958;balcony;11;art;4
959;sphinx;11;defense;4
960;give;11;project;4
961;alarm;11;aggie;4
962;save;11;reverse;4
963;soul;11;sweet;4
964;grow;11;georgia;4
965;language;11;dozen;4
966;wormhole;11;machinery;4
967;shop;11;mob;4
968;girlfriend;11;cup;4
969;coat;11;arthur;4
970;insurance;11;senate;4
971;raise;11;mighty;4
972;bill;11;sight;4
973;gaze;11;brent;4
974;conference;11;civilization;4
975;humanity;11;plenty;4
976;ann;11;lesson;4
977;kingdom;11;desire;4
978;communication;11;engineering;4
979;list;11;ext;4
980;design;11;transport;4
981;feed;11;orbit;4
982;wilson;11;shock;4
983;activity;11;bird;4
984;dump;11;survivor;4
985;tiamat;11;stobrod;4
986;arthur;11;gregor;4
987;vice;11;proof;4
988;trap;11;la;4
989;drunk;11;frequency;4
990;mason;10;patch;4
991;listen;10;math;4
992;plate;10;thrust;4
993;patch;10;prepare;4
994;union;10;conversation;4
995;quarter;10;scene;4
996;kirk;10;stomach;4
997;pov;10;steel;4
998;set;10;macto;4
999;sex;10;border;4
1000;chase;10;tale;4
1001;sight;10;bastard;4
1002;send;10;tape;4
1003;closing;10;meant;4
1004;challenge;10;cube;4
1005;desk;10;holloway;4
1006;worth;10;skynet;4
1007;l;10;ability;4
1008;watson;10;sorrow;4
1009;trophy;10;joe;4
1010;maximus;10;career;4
1011;gojira;10;joke;4
1012;eh;10;admit;4
1013;breakfast;10;cross;4
1014;mcmissile;10;bala;4
1015;weiner;10;dust;4
1016;department;10;weapon;4
1017;grab;10;realize;4
1018;candy;10;schedule;4
1019;buddy;10;bus;4
1020;quail;10;delivery;4
1021;hood;10;bud;4
1022;coast;10;balcony;4
1023;trace;10;sif;4
1024;highway;10;encounter;3
1025;diz;10;tsai;3
1026;bow;10;carpet;3
1027;sake;10;mee;3
1028;pair;10;reporter;3
1029;seal;10;guido;3
1030;oxygen;10;study;3
1031;file;10;smoke;3
1032;paint;10;county;3
1033;billingsley;10;ninety;3
1034;brent;10;unit;3
1035;engineering;10;keith;3
1036;exercise;10;insult;3
1037;sack;10;breathe;3
1038;explanation;10;give;3
1039;knowledge;10;household;3
1040;wreckage;10;seamus;3
1041;lake;10;murray;3
1042;bus;10;fix;3
1043;j;10;band;3
1044;plutonium;10;meat;3
1045;rise;10;rv;3
1046;enjoy;10;driving;3
1047;chuck;10;gou;3
1048;glow;10;barrier;3
1049;reputation;10;yesterday;3
1050;duke;10;struggle;3
1051;advantage;10;robinson;3
1052;laughter;10;privacy;3
1053;platform;10;hook;3
1054;reaction;10;top;3
1055;song;10;serve;3
1056;suv;10;second;3
1057;court;10;louder;3
1058;adventure;10;feeling;3
1059;sandra;10;rasputin;3
1060;cube;10;climate;3
1061;coll;10;pop;3
1062;ogre;10;rider;3
1063;supply;10;letter;3
1064;universe;10;alarm;3
1065;branch;10;voiceprint;3
1066;kinda;10;wedding;3
1067;holy;9;secretary;3
1068;wine;9;mud;3
1069;fix;9;future;3
1070;spidey;9;confusion;3
1071;ate;9;uncertainty;3
1072;feeling;9;undone;3
1073;respond;9;bathroom;3
1074;pity;9;trigger;3
1075;accident;9;canopy;3
1076;roll;9;muir;3
1077;highness;9;spin;3
1078;jerk;9;pyramid;3
1079;badge;9;kohl;3
1080;st;9;alien;3
1081;note;9;wheel;3
1082;fredricksen;9;opportunity;3
1083;newspaper;9;tune;3
1084;condition;9;client;3
1085;beautiful;9;consciousness;3
1086;palm;9;disguise;3
1087;santa;9;yes;3
1088;driscoll;9;queen;3
1089;uranium;9;projection;3
1090;realize;9;spread;3
1091;beith;9;bobby;3
1092;pause;9;hunt;3
1093;wire;9;alice;3
1094;co;9;captive;3
1095;appreciate;9;dear;3
1096;forty;9;purple;3
1097;phase;9;landscape;3
1098;film;9;avatar;3
1099;retreat;9;corn;3
1100;crystal;9;bury;3
1101;stake;9;afternoon;3
1102;cost;9;nerve;3
1103;cargo;9;altitude;3
1104;cap;9;spring;3
1105;husband;9;failure;3
1106;horror;9;powder;3
1107;trailer;9;counsel;3
1108;robert;9;inside;3
1109;beedo;9;emit;3
1110;experiment;9;escape;3
1111;win;9;request;3
1112;cyclotron;9;smell;3
1113;career;9;roll;3
1114;monitor;9;juggernaut;3
1115;roof;9;welcome;3
1116;meat;9;bullet;3
1117;revenge;9;jacket;3
1118;signature;9;frigga;3
1119;bat;9;reception;3
1120;bay;9;chain;3
1121;faith;9;terror;3
1122;switch;9;advantage;3
1123;policy;9;lynch;3
1124;reading;9;clouds;3
1125;bottle;9;tear;3
