|character|text|type|character_clean|gender
223||"in the back seat get lucky.  The pilot reacts as the
TECHNICIAN in the copilot seat has picked up a signal from
the FIREFLY...the LOCATOR...on Alonzo's Bentley."|stage direction||
224||(keys radio; too much|location||
225||static, tries cell phone)|unknown||
226|SWITEK|Sonny, we got him...|speech|SWITEK|F
227||INT. BLACK SIKORSKY CHOPPER - CROCKETT + TUBBS|location||
228||"Tubbs pilots it while Crockett gets the location of Alonzo's
car and repeats it into the headset to Tubbs as the..."|stage direction||
229||EXT. SKY OVER MIAMI - C + T'S SIKORSKY - NIGHT|location||
230||"banks hard left and heads for north 95 towards Lauderdale.
Meanwhile..."|stage direction||
231||CUT TO:|unknown||
232||EXT. INDIAN RIVER - WIDE:  THE DEAL - NIGHT|location||
233||"Three Aryan Brothers in business suits get out of the rear of
the Escalade and Suburban with a driver in each.  Our two
""Russians"" approach from their Cadillac with a backup
Cadillac and one driver on the other side.
CLOSER:  ARYAN BROTHERS.  Friendly.  Hip-hop culture has
invaded White Supremacist gangs.  Buzz cuts.  Goatees.  A
couple of diamond earrings."|stage direction||
234|RUSSIAN #1|"...sample now is okay.  And we want
sample load when we do deal..."|speech|RUSSIAN #1|?
235|ARYAN BROTHER|Sure, man.|speech|ARYAN BROTHER|M
236|RUSSIAN #1|What inventory you can supply...?|speech|RUSSIAN #1|?
237|ARYAN BROTHER #1|"Meth.  Glass, ice, K's, E's,
Mitsu's, Ames, Ex...whatever you
need.  Coke?  Tonnage.  And
Colombian H.  But give us a heads
up..."|speech|ARYAN BROTHER #1|M
238||The Aryan Brother pops him a couple of vials.|stage direction||
239|ARYAN BROTHER #1 (cont'd)|"Ice.  Spectra-analyze that shit.
And party-on with the coke.  You
are looking at ninety-two percent
pure...none of that jumped-on
powder they sell up in New
Yorioo..."|speech|ARYAN BROTHER #1|M
240|ARYAN BROTHER #2|Yeah...|speech|ARYAN BROTHER #2|?
241||(beat)|location||
242|ARYAN BROTHER #2|Now, let's see the green...|speech|ARYAN BROTHER #2|?
243||"One of the Russians puts his hand on a weapon as the other
opens up a Nike sports bag."|stage direction||
244|RUSSIAN|"Never seen money before?  This is
called ""money."""|speech|RUSSIAN|M
245||"Aryan Brother #1 reaches into the bag at the wrapped stacks
of hundreds.  Flips through a couple, takes one or two at
random.  Russian nods for him to go ahead."|stage direction||
246|ARYAN BROTHER #1|"Okay.  You got lotsa green.  We got
all the goodies.  We party.
Larry'll call you in the AM and
talk money, quantity, time and
place..."|speech|ARYAN BROTHER #1|M
247||"WIDEN.  Everybody goes back to their cars.  As the two
""Russians"" get into theirs, Aryan Brother #1 turns from the
running board of the Escalade with his driver's door open."|stage direction||
248|ARYAN BROTHER|"Hey, Ivan!  I forgot to ask you
something, my brother..."|speech|ARYAN BROTHER|M
249||"He looks at his partner and nods, who says something into a
Nextel."|stage direction||
250|ARYAN BROTHER (cont'd)|"...they have a decent death-benefit
program in the FBI?"|speech|ARYAN BROTHER|M
251||"For the Russians in the car, time freezes.  As they start
to react, they're blown up by .50 caliber rounds from the two
sniper positions.  The .50 caliber rounds go right through
car bodies, sheet metal, upholstery, glass, human flesh,
bone, more upholstery and metal and out the other end.
Another round goes through the passenger door, through the
passenger, through the driver, out the driver door and into
the night...
WIDE
The three Aryan Brothers approach the steaming cars with the
chopped-up occupants and take the gym bag full of cash.  The
Escalade driver dons night-vision goggles.  They load up and
drive off as we hear the ""thump, thump"" of Air Support and
some distant sirens.  Meanwhile..."|stage direction||
252||CUT TO:|unknown||
253||INT. MIAMI-DADE CHOPPER - SWITEK + ZITO - NIGHT|location||
254||"at 170 knots watching a thermographic image of Alonzo
Stevens' car on a monitor weave through traffic northbound on
the 95...  SEE Tubbs' Sikorsky beyond Switek + Zito as it
swoops from a higher altitude right past the Miami-Dade
chopper, banks and dives for the freeway."|stage direction||
255||EXT. FREEWAY|location||
256||"Tracking with Stevens' Bentley from the front.
The black Sikorsky is almost on the Bentley's hood.  Tubbs
racks the chopper sideways so that Alonzo can see Crockett in
the copilot seat...
CLOSER:  CROCKETT
has his handgun out and is waving Alonzo over to the
shoulder.  Tubbs keeps the chopper almost blocking Alonzo's
Bentley.  Alonzo pulls over.  Tubbs wheels around and lands
on the shoulder.  They approach...
ALONZO STEVENS
exits the Bentley and walks toward Crockett and Tubbs.  He
holds his hand out to keep them at a distance.
Freeway traffic roars past.  Crockett and Tubbs don't get too
close, heeding Alonzo's warning..."|stage direction||
257||(incensed, over traffic|location||
258||noise)|unknown||
259|TUBBS|What the hell did you do?|speech|TUBBS|M
260|STEVENS|"The Feeb gig was I front a coupla
undercover, Russian-speakers to
them.  One's ATF.  And broker the
deal.  Set up the meet with the NLR
types..."|speech|STEVENS|M
261||"Stevens takes a low-resolution E-mailed image from his pocket
and hands it to Tubbs.  Tubbs looks up, shocked, hands it to
Crockett.  Stevens' head rotates loosely on his
shoulders...his mind's elsewhere...
CROCKETT'S POV:  IMAGE
Alonzo's wife, Francine, is bound - clothes torn - to a chair
in a TV room.  On the floor are two young boys bound with
plastic ties.  Paper bags are over their heads.  Francine's
eyes are as large as saucers.  Around her neck is a necklace
of C-4 explosive connected to a detonator."|stage direction||
262||(shouts)|location||
263|STEVENS (cont'd)|"So I gave them up, man!  Gave up
the Feds!  Gave up everything
I knew.  Now I got to go home..."|speech|STEVENS|M
264|CROCKETT|How'd they get onto you?|speech|CROCKETT|F
265|STEVENS|"How do I know?  But it was from the
get-go.  Knew the FBI had run me
into them."|speech|STEVENS|M
266||(beat)|location||
267|STEVENS|Sonny, I gotta go...!|speech|STEVENS|M
268||MEANWHILE:|unknown||
269||INT. ALONZO STEVENS' HOUSE - TRUDY - NIGHT|location||
